Date (AST),Parameter ,Value (m)
2021-05-02 8:55,46,2.737
2021-05-02 9:00,46,2.739
2021-05-02 9:05,46,2.74
2021-05-02 9:10,46,2.743
2021-05-02 9:15,46,2.741
2021-05-02 9:20,46,2.745
2021-05-02 9:25,46,2.748
2021-05-02 9:30,46,2.748
2021-05-02 9:35,46,2.745
2021-05-02 9:40,46,2.745
2021-05-02 9:45,46,2.747
2021-05-02 9:50,46,2.749
2021-05-02 9:55,46,2.752
2021-05-02 10:00,46,2.753
2021-05-02 10:05,46,2.755
2021-05-02 10:10,46,2.753
2021-05-02 10:15,46,2.757
2021-05-02 10:20,46,2.756
2021-05-02 10:25,46,2.757
2021-05-02 10:30,46,2.761
2021-05-02 10:35,46,2.763
2021-05-02 10:40,46,2.761
2021-05-02 10:45,46,2.76
2021-05-02 10:50,46,2.759
2021-05-02 10:55,46,2.758
2021-05-02 11:00,46,2.757
2021-05-02 11:05,46,2.757
2021-05-02 11:10,46,2.754
2021-05-02 11:15,46,2.754
2021-05-02 11:20,46,2.754
2021-05-02 11:25,46,2.754
2021-05-02 11:30,46,2.751
2021-05-02 11:35,46,2.758
2021-05-02 11:40,46,2.759
2021-05-02 11:45,46,2.756
2021-05-02 11:50,46,2.758
2021-05-02 11:55,46,2.758
2021-05-02 12:00,46,2.759
2021-05-02 12:05,46,2.761
2021-05-02 12:10,46,2.762
2021-05-02 12:15,46,2.758
2021-05-02 12:20,46,2.758
2021-05-02 12:25,46,2.754
2021-05-02 12:30,46,2.758
2021-05-02 12:35,46,2.755
2021-05-02 12:40,46,2.756
2021-05-02 12:45,46,2.757
2021-05-02 12:50,46,2.758
2021-05-02 12:55,46,2.757
2021-05-02 13:00,46,2.758
2021-05-02 13:05,46,2.756
2021-05-02 13:10,46,2.755
2021-05-02 13:15,46,2.757
2021-05-02 13:20,46,2.756
2021-05-02 13:25,46,2.757
2021-05-02 13:30,46,2.758
2021-05-02 13:35,46,2.757
2021-05-02 13:40,46,2.752
2021-05-02 13:45,46,2.755
2021-05-02 13:50,46,2.753
2021-05-02 13:55,46,2.758
2021-05-02 14:00,46,2.76
2021-05-02 14:05,46,2.762
2021-05-02 14:10,46,2.764
2021-05-02 14:15,46,2.766
2021-05-02 14:20,46,2.763
2021-05-02 14:25,46,2.762
2021-05-02 14:30,46,2.76
2021-05-02 14:35,46,2.759
2021-05-02 14:40,46,2.754
2021-05-02 14:45,46,2.756
2021-05-02 14:50,46,2.752
2021-05-02 14:55,46,2.752
2021-05-02 15:00,46,2.752
2021-05-02 15:05,46,2.753
2021-05-02 15:10,46,2.75
2021-05-02 15:15,46,2.748
2021-05-02 15:20,46,2.747
2021-05-02 15:25,46,2.751
2021-05-02 15:30,46,2.753
2021-05-02 15:35,46,2.756
2021-05-02 15:40,46,2.757
2021-05-02 15:45,46,2.75
2021-05-02 15:50,46,2.75
