Date (NST),Parameter ,Value (m)
2021-05-05 21:30,46,85.934
2021-05-05 21:45,46,85.906
2021-05-05 22:00,46,85.926
2021-05-05 22:15,46,85.943
2021-05-05 22:30,46,85.919
2021-05-05 22:45,46,85.928
2021-05-05 23:00,46,85.932
2021-05-05 23:15,46,85.902
2021-05-05 23:30,46,85.952
2021-05-05 23:45,46,85.934
2021-05-06 0:00,46,85.932
2021-05-06 0:15,46,85.954
2021-05-06 0:30,46,85.93
2021-05-06 0:45,46,85.914
2021-05-06 1:00,46,85.952
2021-05-06 1:15,46,85.916
2021-05-06 1:30,46,85.96
2021-05-06 1:45,46,85.94
2021-05-06 2:00,46,85.934
2021-05-06 2:15,46,85.936
2021-05-06 2:30,46,85.937
2021-05-06 2:45,46,85.924
2021-05-06 3:00,46,85.976
2021-05-06 3:15,46,85.916
2021-05-06 3:30,46,85.935
2021-05-06 3:45,46,85.941
2021-05-06 4:00,46,85.929
2021-05-06 4:15,46,85.952
2021-05-06 4:30,46,85.946
2021-05-06 4:45,46,85.927
2021-05-06 5:00,46,85.946
2021-05-06 5:15,46,85.939
2021-05-06 5:30,46,85.916
2021-05-06 5:45,46,85.96
2021-05-06 6:00,46,85.932
2021-05-06 6:15,46,85.935
2021-05-06 6:30,46,85.945
2021-05-06 6:45,46,85.938
2021-05-06 7:00,46,85.929
2021-05-06 7:15,46,85.957
2021-05-06 7:30,46,85.922
2021-05-06 7:45,46,85.963
2021-05-06 8:00,46,85.93
2021-05-06 8:15,46,85.945
2021-05-06 8:30,46,85.941
2021-05-06 8:45,46,85.957
2021-05-06 9:00,46,85.931
2021-05-06 9:15,46,85.965
2021-05-06 9:30,46,85.931
2021-05-06 9:45,46,85.949
2021-05-06 10:00,46,85.934
2021-05-06 10:15,46,85.946
2021-05-06 10:30,46,85.947
2021-05-06 10:45,46,85.962
2021-05-06 11:00,46,85.935
2021-05-06 11:15,46,85.955
2021-05-06 11:30,46,85.93
2021-05-06 11:45,46,85.945
2021-05-06 12:00,46,85.953
2021-05-06 12:15,46,85.957
2021-05-06 12:30,46,85.96
2021-05-06 12:45,46,85.954
2021-05-06 13:00,46,85.947
2021-05-06 13:15,46,85.944
2021-05-06 13:30,46,85.962
2021-05-06 13:45,46,85.949
2021-05-06 14:00,46,85.966
2021-05-06 14:15,46,85.94
2021-05-06 14:30,46,85.957
2021-05-06 14:45,46,85.933
2021-05-06 15:00,46,85.942
2021-05-06 15:15,46,85.945
2021-05-06 15:30,46,85.96
2021-05-06 15:45,46,85.925
2021-05-06 16:00,46,85.96
2021-05-06 16:15,46,85.939
2021-05-06 16:30,46,85.951
2021-05-06 16:45,46,85.95
2021-05-06 17:00,46,85.937
2021-05-06 17:15,46,85.962
2021-05-06 17:30,46,85.96
2021-05-06 17:45,46,85.934
2021-05-06 18:00,46,85.948
2021-05-06 18:15,46,85.967
2021-05-06 18:30,46,85.928
2021-05-06 18:45,46,85.964
2021-05-06 19:00,46,85.961
2021-05-06 19:15,46,85.954
2021-05-06 19:30,46,85.977
2021-05-06 19:45,46,85.946
2021-05-06 20:00,46,85.949
2021-05-06 20:15,46,85.98
2021-05-06 20:30,46,85.95
2021-05-06 20:45,46,85.967
2021-05-06 21:00,46,85.974
2021-05-06 21:15,46,85.951
2021-05-06 21:30,46,85.971
2021-05-06 21:45,46,85.965
2021-05-06 22:00,46,85.966
2021-05-06 22:15,46,85.989
2021-05-06 22:30,46,85.967
2021-05-06 22:45,46,85.967
2021-05-06 23:00,46,85.978
2021-05-06 23:15,46,85.964
2021-05-06 23:30,46,85.973
2021-05-06 23:45,46,85.988
2021-05-07 0:00,46,85.981
2021-05-07 0:15,46,85.992
2021-05-07 0:30,46,85.974
2021-05-07 0:45,46,85.976
2021-05-07 1:00,46,85.977
2021-05-07 1:15,46,85.973
2021-05-07 1:30,46,85.964
2021-05-07 1:45,46,85.981
2021-05-07 2:00,46,85.97
2021-05-07 2:15,46,85.983
2021-05-07 2:30,46,85.968
2021-05-07 2:45,46,85.973
2021-05-07 3:00,46,85.969
2021-05-07 3:15,46,85.957
2021-05-07 3:30,46,85.964
2021-05-07 3:45,46,85.969
2021-05-07 4:00,46,85.958
2021-05-07 4:15,46,85.976
2021-05-07 4:30,46,85.96
2021-05-07 4:45,46,85.958
2021-05-07 5:00,46,85.976
2021-05-07 5:15,46,85.952
2021-05-07 5:30,46,85.959
2021-05-07 5:45,46,85.984
2021-05-07 6:00,46,85.963
2021-05-07 6:15,46,85.966
2021-05-07 6:30,46,85.973
2021-05-07 6:45,46,85.959
2021-05-07 7:00,46,85.979
2021-05-07 7:15,46,85.969
2021-05-07 7:30,46,85.969
2021-05-07 7:45,46,85.976
2021-05-07 8:00,46,85.969
2021-05-07 8:15,46,85.956
2021-05-07 8:30,46,85.99
2021-05-07 8:45,46,85.968
2021-05-07 9:00,46,85.974
2021-05-07 9:15,46,85.988
2021-05-07 9:30,46,85.966
2021-05-07 9:45,46,85.972
2021-05-07 10:00,46,85.974
2021-05-07 10:15,46,85.962
2021-05-07 10:30,46,85.994
2021-05-07 10:45,46,85.969
2021-05-07 11:00,46,85.971
2021-05-07 11:15,46,85.975
2021-05-07 11:30,46,85.972
2021-05-07 11:45,46,85.975
