Date (MST),Parameter ,Value (m)
2021-05-01 20:35,46,14.115
2021-05-01 20:40,46,14.115
2021-05-01 20:45,46,14.115
2021-05-01 20:50,46,14.115
2021-05-01 20:55,46,14.115
2021-05-01 21:00,46,14.115
2021-05-01 21:05,46,14.115
2021-05-01 21:10,46,14.115
2021-05-01 21:15,46,14.115
2021-05-01 21:20,46,14.115
2021-05-01 21:25,46,14.115
2021-05-01 21:30,46,14.115
2021-05-01 21:35,46,14.115
2021-05-01 21:40,46,14.115
2021-05-01 21:45,46,14.115
2021-05-01 21:50,46,14.115
2021-05-01 21:55,46,14.115
2021-05-01 22:00,46,14.115
2021-05-01 22:05,46,14.115
2021-05-01 22:10,46,14.115
2021-05-01 22:15,46,14.115
2021-05-01 22:20,46,14.115
2021-05-01 22:25,46,14.115
2021-05-01 22:30,46,14.115
2021-05-01 22:35,46,14.115
2021-05-01 22:40,46,14.115
2021-05-01 22:45,46,14.115
2021-05-01 22:50,46,14.115
2021-05-01 22:55,46,14.115
2021-05-01 23:00,46,14.115
2021-05-01 23:05,46,14.115
2021-05-01 23:10,46,14.115
2021-05-01 23:15,46,14.115
2021-05-01 23:20,46,14.115
2021-05-01 23:25,46,14.115
2021-05-01 23:30,46,14.115
2021-05-01 23:35,46,14.115
2021-05-01 23:40,46,14.115
2021-05-01 23:45,46,14.115
2021-05-01 23:50,46,14.115
2021-05-01 23:55,46,14.115
2021-05-02 0:00,46,14.115
2021-05-02 0:05,46,14.115
2021-05-02 0:10,46,14.115
2021-05-02 0:15,46,14.115
2021-05-02 0:20,46,14.115
2021-05-02 0:25,46,14.115
2021-05-02 0:30,46,14.115
2021-05-02 0:35,46,14.115
2021-05-02 0:40,46,14.115
2021-05-02 0:45,46,14.115
2021-05-02 0:50,46,14.115
2021-05-02 0:55,46,14.115
2021-05-02 1:00,46,14.115
2021-05-02 1:05,46,14.115
2021-05-02 1:10,46,14.115
2021-05-02 1:15,46,14.115
2021-05-02 1:20,46,14.115
2021-05-02 1:25,46,14.115
2021-05-02 1:30,46,14.115
2021-05-02 1:35,46,14.115
2021-05-02 1:40,46,14.115
2021-05-02 1:45,46,14.115
2021-05-02 1:50,46,14.115
2021-05-02 1:55,46,14.115
2021-05-02 2:00,46,14.115
2021-05-02 2:05,46,14.115
2021-05-02 2:10,46,14.115
2021-05-02 2:15,46,14.115
2021-05-02 2:20,46,14.115
2021-05-02 2:25,46,14.115
2021-05-02 2:30,46,14.115
2021-05-02 2:35,46,14.115
2021-05-02 2:40,46,14.115
2021-05-02 2:45,46,14.115
2021-05-02 2:50,46,14.115
2021-05-02 2:55,46,14.115
2021-05-02 3:00,46,14.115
2021-05-02 3:05,46,14.115
2021-05-02 3:10,46,14.115
2021-05-02 3:15,46,14.115
2021-05-02 3:20,46,14.115
2021-05-02 3:25,46,14.115
2021-05-02 3:30,46,14.115
2021-05-02 3:35,46,14.115
2021-05-02 3:40,46,14.115
2021-05-02 3:45,46,14.115
2021-05-02 3:50,46,14.115
2021-05-02 3:55,46,14.115
2021-05-02 4:00,46,14.115
2021-05-02 4:05,46,14.115
2021-05-02 4:10,46,14.115
2021-05-02 4:15,46,14.115
2021-05-02 4:20,46,14.115
2021-05-02 4:25,46,14.115
2021-05-02 4:30,46,14.115
2021-05-02 4:35,46,14.115
2021-05-02 4:40,46,14.115
2021-05-02 4:45,46,14.115
2021-05-02 4:50,46,14.115
2021-05-02 4:55,46,14.115
2021-05-02 5:00,46,14.115
2021-05-02 5:05,46,14.115
2021-05-02 5:10,46,14.115
2021-05-02 5:15,46,14.115
2021-05-02 5:20,46,14.115
2021-05-02 5:25,46,14.115
2021-05-02 5:30,46,14.115
2021-05-02 5:35,46,14.115
2021-05-02 5:40,46,14.115
2021-05-02 5:45,46,14.115
2021-05-02 5:50,46,14.115
2021-05-02 5:55,46,14.115
2021-05-02 6:00,46,14.115
2021-05-02 6:05,46,14.115
2021-05-02 6:10,46,14.115
2021-05-02 6:15,46,14.115
2021-05-02 6:20,46,14.115
2021-05-02 6:25,46,14.115
2021-05-02 6:30,46,14.115
2021-05-02 6:35,46,14.115
2021-05-02 6:40,46,14.115
2021-05-02 6:45,46,14.115
2021-05-02 6:50,46,14.115
2021-05-02 6:55,46,14.115
2021-05-02 7:00,46,14.115
